Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2014-12-17,Kambia,Tonko Limba,Mamankoh,Mafafila,,,40,,,47,3.0,1.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,Bo,Jaiama Bongor,Lower Baimber,Mano Bongor,,,40,,,46,2.0,1.0,2.0,0.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-01-23,Bo,Baoma,Upper Pataloo,Juhun,,,40,,,45,3.0,2.0,2.0,0.0,2.0,3.0,11.0,0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
2014-12-04,Bombali,Makari Gbanti,Thonkomba,Magbaikolie,,,40,,,45,2.0,2.0,2.0,0.0,2.0,2.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-03,Kailahun,Jaluahun,Ndaa Sei I,Tongorma,,,40,,,45,4.0,3.0,2.0,0.0,2.0,1.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-12,Kailahun,Peje Bongre,Bokoh,Mbahumyiehun,,,40,,,45,3.0,2.0,2.0,0.0,5.0,2.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-06,Port Loko,Marampa,Bai P0ll0n,Siaka Stevens Street,,,40,,,45,1.0,2.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2014-12-04,Port Loko,Marampa,Bai P0ll0n,Siaka Stevens Street,,,40,,,45,1.0,2.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2014-12-03,Tonkolili,Kalansogoia,Bassaia,Kanigba,,,40,,,45,2.0,1.0,2.0,0.0,1.0,2.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,Tonkolili,Kafe Simiria,Makelfa,Inenaya,,,40,,,45,1.0,1.0,2.0,0.0,2.0,1.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,Tonkolili,Tane,Mathonkara,Makelleh,,,40,,,45,2.0,2.0,3.0,0.0,2.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-02,Bombali,Gbendembu Ngowahun,Madina Loko,Madina Loko,,,40,,,44,2.0,2.0,2.0,0.0,1.0,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,Kailahun,Jaluahun,Sei 1,Walima ,,,40,,,44,4.0,3.0,2.0,0.0,4.0,1.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Kailahun,Luawa,Gbela,Kpadebu,,,40,,,42,3.0,4.0,4.0,0.0,4.0,2.0,11.0,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-05,Tonkolili,Gbonkolenken,Upper Masakoh,Warema,,,40,,,40,3.0,2.0,3.0,0.0,2.0,0.0,11.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2014-12-03,Kailahun,Upper Bambara,Bambara,Gumawulo,,,40,,,39,2.0,2.0,3.0,0.0,4.0,3.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,Bonthe,Sakrim,Kemoh,Senehun,4.0,36.0,40,2.0,36.0,38,2.0,4.0,1.0,1.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2015-02-05,Kono,Pesseh,Soso,Kpanga Kabondeh,12.0,28.0,40,13.0,23.0,36,2.0,4.0,4.0,0.0,0.0,2.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Kailahun,Jawei,Sowa,Nyanyawama ,,,40,,,36,2.0,2.0,2.0,1.0,2.0,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-18,Kono,,Tankorio,Resetlement,12.0,28.0,40,13.0,23.0,36,4.0,4.0,6.0,0.0,4.0,1.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-19,Bo,Kakua,Samami,Kpanguma,,,40,,,35,2.0,1.0,2.0,0.0,2.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,Bo,Gbo,Dodo,Gbeworbu ,,,40,,,35,2.0,1.0,4.0,0.0,1.0,3.0,15.0,0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,Bombali,Libeisaygahun,Gbonka,Makaleh,,,40,,,35,1.0,1.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-02,Kailahun,Jaluahun,Kemaya,Dambu,,,40,,,35,4.0,2.0,2.0,0.0,1.0,1.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-11-27,Moyamba,Kori,Bai Largo,Bia Largo,,,40,,,35,0.0,2.0,2.0,1.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-13,Moyamba,Bumpe,Saina,Saina Wharf,,,40,,,35,1.0,1.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Moyamba,Fakunya,Njawa,Taininhun,,,40,,,35,2.0,1.0,2.0,0.0,1.0,1.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,Port Loko,Buya Romende,Kamasondo,Masembeh,,,40,,,35,2.0,2.0,2.0,0.0,2.0,0.0,14.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-01-16,Tonkolili,Tane,Mathonkara,Mamayia,,,40,,,35,2.0,2.0,4.0,0.0,2.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Bo,Wonde,Upper Kargoi,Dai 1,,,40,,,34,2.0,2.0,2.0,2.0,2.0,2.0,13.0,4,2.0,2.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-20,Bo,Bumpe Ngao,Taninahun,Patama Navo,,,40,,,34,2.0,2.0,2.0,0.0,1.0,1.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-03,Bombali,Sanda Loko,Robanka,Makali,,,40,,,34,1.0,1.0,2.0,0.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,Koinadugu,Diang,Mandrerefet,Kampala,,,40,,,34,1.0,1.0,1.0,1.0,1.0,0.0,13.0,1,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-12-20,Moyamba,Kaiyamba,Koroboya,Moyogba Village,,,40,,,34,1.0,1.0,2.0,0.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,Bombali,Sanda Tendaren,Rogbin,Rononko,,,40,,,32,1.0,1.0,1.0,0.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Bombali,Libeisaygahun,Gbonka,Magbongbo,,,40,,,32,1.0,1.0,1.0,0.0,1.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,Bombali,Paki Massabong,Kathantha,Kabakeh,,,40,,,31,1.0,1.0,2.0,0.0,1.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,Kono,Gbane Kandor,Yambidu,Sofidu,,,40,,,31,1.0,1.0,2.0,0.0,1.0,0.0,17.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,Pujehun,Peje,Pejeh West,Komendeh,,,40,,,31,3.0,4.0,2.0,0.0,2.0,2.0,13.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,Bo,Valunia,Yarlenga,Kenema Blango,,,40,,,30,3.0,2.0,4.0,0.0,2.0,1.0,13.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,Bo,Komboya,Tongorwa,Teibor,,,40,,,30,2.0,1.0,2.0,0.0,2.0,3.0,13.0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
2014-12-10,Kailahun,Kissi Tongi,Koino,Dambala,,,40,,,30,1.0,1.0,1.0,0.0,1.0,1.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,Kono,Fiama,Fiama,Kunduma,,,40,,,30,2.0,1.0,2.0,0.0,2.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,Kono,Fiama,Yorkor,Yendu,,,40,,,30,1.0,1.0,1.0,0.0,1.0,2.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-27,Moyamba,Kongbora,Lawana,Rogberay,,,40,,,30,2.0,1.0,2.0,0.0,1.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-14,Moyamba,Kongbora,Lawana,Ngaiahun,,,40,,,30,2.0,1.0,2.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,Moyamba,Fakunya,Lungiii,Mojaka,,,40,,,30,2.0,3.0,2.0,0.0,3.0,0.0,4.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-06,Port Loko,Buya Romende,Magbengbeh,Rogbaneh,,,40,,,30,2.0,2.0,1.0,0.0,2.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,Port Loko,Buya Romende,Rosint Buya,Mabanta,,,40,,,30,2.0,2.0,2.0,0.0,4.0,0.0,13.0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,Pujehun,Makpele,Selemeh,Nyeyama,,,40,,,30,3.0,2.0,2.0,0.0,3.0,2.0,12.0,4,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2015-01-14,Tonkolili,Tane,Mathonkara,Mabenthe,,,40,,,30,2.0,2.0,2.0,0.0,2.0,0.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,Bombali,Sanda Tendaren,Mateboi,Rokgbonah,,,40,,,29,1.0,1.0,1.0,0.0,0.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-25,Port Loko,Marampa,Marampa,Magbanthay,,,40,,,29,2.0,2.0,2.0,0.0,2.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-18,Moyamba,Kori,Forgbo,Fobgbo,,,40,,,28,2.0,2.0,2.0,0.0,1.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,,0.0
2014-11-26,Port Loko,Buya Romende,Magbengbeh,Makaprr,,,40,,,28,1.0,2.0,1.0,0.0,1.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,11.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,9.0
2014-12-02,Tonkolili,Kholifa Rowalla,Mamunta,Rothangbai,,,40,,,28,2.0,1.0,2.0,0.0,2.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2014-12-05,Tonkolili,Kafe Simiria,Mayasso,Dombilia,,,40,,,28,1.0,1.0,2.0,0.0,1.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,Tonkolili,Kalansogoia,Bassaia,Wondugu,,,40,,,27,2.0,2.0,2.0,0.0,1.0,2.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,Bo,Valunia,Dellenga,Moyorgboh,,,40,,,26,2.0,1.0,2.0,0.0,1.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,Kailahun,Jaluahun,Jongar ,Njalla ,,,40,,,26,2.0,2.0,1.0,0.0,2.0,1.0,13.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,Pujehun,Sowa,Kangebai,Ngormbu,,,40,,,26,2.0,1.0,2.0,0.0,2.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-12-11,Bo,Valunia,Yarlenga,Kortumahun,,,40,,,25,3.0,2.0,2.0,0.0,2.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,Bo,Kakua,Kpandobu,Vengema,,,40,,,25,2.0,2.0,2.0,0.0,2.0,2.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-02,Kailahun,Jaluahun,Jongar,Gbeika,,,40,,,25,3.0,2.0,2.0,0.0,2.0,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-27,Moyamba,Fakunya,Mende Gelema,Taninihun Madina,,,40,,,25,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2014-11-26,Moyamba,Kaiyamba,Menda Gelema,Taninihun Madina,,,40,,,25,4.0,2.0,2.0,1.0,1.0,0.0,13.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2014-12-11,Moyamba,Kori,Forbgo,Hendabu,,,40,,,25,4.0,2.0,2.0,1.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2014-11-26,Port Loko,Buya Romende,Warreh Mopoteh,Manunthaeh,,,40,,,25,1.0,1.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-03,Port Loko,Buya Romende,Magbengbeh,Tiama,,,40,,,25,1.0,2.0,1.0,0.0,1.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,Pujehun,Makpele,Samagbe,Gissiwulo,,,40,,,25,4.0,3.0,3.0,0.0,2.0,1.0,10.0,3,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2014-12-04,Tonkolili,Kunike,Patifu Line,Mafabaneh,,,40,,,25,1.0,1.0,2.0,0.0,1.0,0.0,15.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,Tonkolili,Kholifa Rowalla,Makump,Maberreh Nonkoh,,,40,,,25,3.0,3.0,2.0,0.0,3.0,2.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Bombali,Gbanti Kamaranka,Rogbaray,Mathinka,,,40,,,23,1.0,1.0,2.0,0.0,1.0,2.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Bo,Baoma,Njeima,Ngelahun,,,40,,,22,2.0,1.0,2.0,1.0,1.0,2.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2014-12-09,Bo,Niawa Lenga,Upper Nyawa,Ngogbebu,,,40,,,22,3.0,2.0,2.0,0.0,2.0,2.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,Bo,Baoma,Fallay,Komende,,,40,,,22,4.0,1.0,2.0,1.0,2.0,1.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,Koinadugu,Sengbe,Bendugu,Sengbeh Bendugu,,,40,,,22,1.0,2.0,2.0,0.0,2.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-19,Bo,Baoma,Bambawo,Vaahun,,,40,,,21,2.0,3.0,2.0,2.0,1.0,2.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,Bo,Bagbo,Tassana,Tissana Junction,,,40,,,21,4.0,1.0,1.0,0.0,1.0,0.0,9.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-01-06,Pujehun,Barri,Sonjor I,Waima,,,40,,,21,4.0,2.0,2.0,0.0,1.0,2.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,Bo,Baoma,Lower Pataloo,Yambama,,,40,,,20,2.0,1.0,2.0,0.0,1.0,1.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2014-12-11,Bo,Komboya,Tongorwa,Pelewahun ,,,40,,,20,2.0,2.0,2.0,0.0,2.0,2.0,13.0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-12-05,Kailahun,Jaluahun,Upper Nyawa,Gbaama,,,40,,,20,2.0,2.0,2.0,0.0,2.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2015-01-15,Kailahun,Dea,Sienga ,Kama Town ,,,40,,,20,2.0,1.0,1.0,0.0,2.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,Kambia,Bramaia,Fothombugie,Kaskonday,,,40,,,20,1.0,1.0,2.0,0.0,2.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,Kambia,Bramaia,Fothombugie,Baibaya,,,40,,,20,1.0,1.0,1.0,0.0,1.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,Pujehun,Gallines Perri,Bondoh,Golahun Perri,,,40,,,20,3.0,2.0,2.0,0.0,2.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,Pujehun,Gallines Perri,Gendema,Solaa,,,40,,,20,2.0,2.0,2.0,0.0,2.0,1.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-02,Tonkolili,Kholifa Mabang,Maruniaseki,Magbokie,,,40,,,20,2.0,1.0,2.0,0.0,2.0,0.0,11.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,Tonkolili,Yoni,Patifu,Magbinty,,,40,,,20,1.0,1.0,1.0,0.0,1.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,Tonkolili,Kalansogoia,Songonie,Sokorrella,,,40,,,20,1.0,1.0,1.0,0.0,1.0,1.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,Bonthe,Bum,Fikie,Bengeh,,,40,,,18,3.0,2.0,2.0,0.0,2.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,Koinadugu,Wara-Wara Yagala,Timbo/Kabo,Bankolia,,,40,,,17,1.0,1.0,1.0,0.0,1.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
2014-11-28,Port Loko,Marampa,Mange,Mange Acre,,,40,,,15,3.0,2.0,2.0,0.0,2.0,0.0,16.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
